Date,Close+T1X2B1:WB1:Y1,High,Low,Open,Volume,ret_1,ret_2,ret_3,ret_4,ret_5,sma_10,sma_20,ma_gap_10,ma_gap_20,range_pct,vol_10,vol_20,vol_chg,vol_sma_20,vol_ratio_20,co_ret,upper_wick,lower_wick,y_ret_t1
1/4/2010,6.695000171661377,6.830500126,6.6570000648498535,6.8125,151998000,,,,,,,,,,0.02591487,,,,,,-0.017247681,0.002688592,0.005675893,0.005899889
1/5/2010,6.734499931335449,6.774000168,6.590499877929688,6.671500205993652,177038000,0.005899889,,,,,,,,,0.027247797,,,0.1647390097238121,,,0.009443112,0.005865356,0.012027668,-0.018115635
1/6/2010,6.612500190734863,6.736499786376953,6.582499980926514,6.730000019073486,143576000,-0.018115635,-0.012322626,,,,,,,,0.023289195,,,-0.189010269,,,-0.017459113,0.000982952,0.004536894,-0.017013261
1/7/2010,6.5,6.616000175476074,6.440000057220459,6.600500106811523,220604000,-0.017013261,-0.03482069,-0.029126238,,,,,,,0.027076941,,,0.5364963503649636,,,-0.015226135,0.002384626,0.00923076,0.027076941270094634
1/8/2010,6.676000118255615,6.684000015258789,6.451499938964844,6.527999877929688,196610000,0.027076941,0.009603013,-0.008686586,-0.002837947,,,,,,0.034826254,,,-0.108765027,,,0.022671606,0.001198307,0.011458948,-0.024041349
1/11/2010,6.515500068664551,6.639999866485596,6.4604997634887695,6.631000042,175588000,-0.024041349,0.002384626,-0.014669205,-0.032519098,-0.026811068,,,,,0.027549705,,,-0.106922334,,,-0.017418183,0.001381295,0.008441456,-0.022715101
1/12/2010,6.367499828338623,6.491000175476074,6.327499866485596,6.449500084,181926000,-0.022715101,-0.046210348,-0.020384642,-0.037051093,-0.054495524,,,,,0.025677317,,,0.036095861,,,-0.012714203,0.006517486,0.006281894,0.013820227706130561
1/13/2010,6.455500126,6.485499858856201,6.287499904632568,6.394999980926514,214464000,0.013820228,-0.009208801,-0.033028758,-0.006846134,-0.02374292,,,,,0.030671513,,,0.1788529402064576,,,0.009460539,0.004647159,0.016652478,-0.013631833
1/14/2010,6.367499828338623,6.519000053405762,6.320000171661377,6.456999778747559,195498000,-0.013631833,0,-0.022715101,-0.046210348,-0.020384642,,,,,0.031252436,,,-0.088434423,,,-0.013860919,0.009736989,0.007459703,-0.001648992
1/15/2010,6.356999874,6.482500076293945,6.353000164031982,6.459000110626221,307530000,-0.001648992,-0.015258346,-0.001648992,-0.024326635,-0.047783139,6.528100014,,-0.026209791,,0.020371231,,,0.5730595709419022,,,-0.015791955,0.003696707,0.000629182,0.003696707
1/19/2010,6.380499839782715,6.400000095367432,6.216499805,6.315499782562256,177852000,0.003696707,0.002041619,-0.011618044,0.002041619,-0.020719857,6.496649980545044,,-0.017878467,,0.028759548,0.017175364,,-0.421675934,,,0.010292148,0.003056227,0.015516022,-0.014340539
1/20/2010,6.289000034332275,6.460000038146973,6.254000186920166,6.356500148773193,181494000,-0.014340539,-0.010696845,-0.012328197,-0.025791974,-0.012328197,6.452099990844727,,-0.025278585,,0.032755581,0.016983256,,0.020477701,,,-0.010619069,0.016457289,0.005565248,0.006678298
1/21/2010,6.330999851226807,6.40749979,6.25,6.362999916,199412000,0.006678298,-0.007758011,-0.004089983,-0.005732231,-0.019285922,6.423949956893921,,-0.014469307,,0.024877554,0.016939877,,0.098725027,,,-0.005029085,0.007028886,0.012794164,-0.040988791
1/22/2010,6.071499824523926,6.383500099182129,6.038000106811523,6.28000021,231378000,-0.040988791,-0.034584228,-0.04842881,-0.04491113,-0.046486064,6.3810999393463135,,-0.048518299,,0.056905213,0.0203137,,0.1603012857801937,,,-0.033200697,0.017046841,0.005517536,-0.009223381
1/25/2010,6.015500068664551,6.113999843597412,5.906000137329102,6.105000019073486,240478000,-0.009223381,-0.049834116,-0.043488625,-0.057205514,-0.053720279,6.315049934387207,,-0.047434283,,0.034577293,0.01651298,,0.039329582,,,-0.014660106,0.001496106,0.018202964,-0.00689886
1/26/2010,5.973999977111816,6.149000168,5.953000068664551,6.027999877929688,191180000,-0.00689886,-0.01605861,-0.056389177,-0.050087463,-0.063709721,6.260899925231934,,-0.045824075,,0.032808855,0.015795175,,-0.205000042,,,-0.008958179,0.020254484,0.003515217,0.027368569
